Timestamp,Temperature,Humidity
10219,28.00,28.00
12245,28.00,27.00
14270,28.00,27.00
16296,28.00,27.00
18321,28.00,27.00
20346,28.00,27.00
22372,28.00,28.00
24397,28.00,28.00
26422,28.00,28.00
28447,28.00,28.00
30473,28.00,27.00
32498,28.00,27.00
34523,28.00,27.00
36549,28.00,28.00
38574,28.00,28.00
40599,28.00,28.00
42624,28.00,28.00
44650,28.00,39.00
46675,29.50,68.00
48700,30.80,71.00
50726,31.30,73.00
52751,31.40,73.00
54777,31.40,74.00
56802,31.20,73.00
58828,31.00,72.00
